Date,SPX,NWL,MSFT,SPX Rtn,NWL Rtn,MSFT Rtn
8/15/05,1219.71,199.37,26,-0.008680175,0.008855379,-0.009146341
8/22/05,1205.1,194.07,26.24,-0.011978257,-0.026583739,0.009230769
8/29/05,1218.02,197.37,26.29,0.010721102,0.017004174,0.001905488
9/6/05,1241.48,209.34,25.86,0.019260767,0.060647515,-0.016356029
9/12/05,1237.91,212.33,25.36,-0.0028756,0.014282985,-0.01933488
9/19/05,1215.29,211.33,24.58,-0.018272734,-0.00470965,-0.030757098
9/26/05,1228.81,210.58,25.03,0.011124917,-0.003548952,0.018307567
10/3/05,1195.9,191.01,23.92,-0.026782009,-0.092933802,-0.044346784
10/10/05,1186.57,185.94,24,-0.007801656,-0.026543113,0.003344482
10/17/05,1179.59,194.68,24.11,-0.005882502,0.04700441,0.004583333
10/24/05,1198.41,204.25,24.84,0.015954696,0.049157592,0.030277893
10/31/05,1220.14,202.7,25.94,0.018132359,-0.007588739,0.044283414
11/7/05,1234.72,207.18,26.54,0.011949448,0.022101628,0.023130301
11/14/05,1248.27,208.69,27.39,0.010974148,0.007288348,0.032027129
11/21/05,1268.25,217.48,27.09,0.016006153,0.042119891,-0.010952903
11/28/05,1265.08,216.57,27.33,-0.002499507,-0.004184293,0.008859358
12/5/05,1259.37,218.67,27.04,-0.004513549,0.009696634,-0.01061105
12/12/05,1267.32,211.43,26.25,0.00631268,-0.033109251,-0.029215976
12/19/05,1268.66,206.49,25.99,0.001057349,-0.023364707,-0.009904762
12/27/05,1248.29,206.6,25.52,-0.016056311,0.000532713,-0.018083878
1/3/06,1285.45,206.69,26.26,0.029768724,0.000435624,0.028996865
1/9/06,1287.61,205.56,26.53,0.001680345,-0.005467125,0.010281797
1/17/06,1261.49,199.7,25.77,-0.020285645,-0.028507492,-0.028646815
1/23/06,1283.72,209.69,27.12,0.017622018,0.050025038,0.052386496
1/30/06,1264.03,213.69,26.87,-0.015338236,0.019075779,-0.009218289
2/6/06,1266.99,211.07,26.04,0.002341717,-0.012260752,-0.030889468
2/13/06,1287.24,211.29,26.14,0.015982762,0.001042308,0.003840246
2/21/06,1289.43,223.81,26.07,0.001701314,0.059255052,-0.002677888
2/27/06,1287.23,226.64,26.37,-0.00170618,0.012644654,0.01150748
3/6/06,1281.42,224.57,26.6,-0.004513568,-0.009133427,0.008722033
3/13/06,1307.25,228.63,26.92,0.020157325,0.018078995,0.012030075
3/20/06,1302.95,227.36,26.44,-0.003289348,-0.005554827,-0.017830609
3/27/06,1294.87,231.94,26.64,-0.006201312,0.020144265,0.007564297
4/3/06,1295.5,228.65,26.68,0.000486535,-0.014184703,0.001501502
4/10/06,1289.12,228.31,26.5,-0.004924739,-0.001486989,-0.006746627
4/17/06,1311.28,231.44,26.58,0.017190021,0.01370943,0.003018868
4/24/06,1310.61,231.65,23.64,-0.000510951,0.000907363,-0.110609481
5/1/06,1325.76,225.66,23.3,0.011559503,-0.025857975,-0.014382403
5/8/06,1291.24,213.18,22.68,-0.026037895,-0.05530444,-0.026609442
